word,profane,offensive,sexual,mean
pp                      ,  0,  0,  1,  0
app                     ,  0,  0, -1,  0
ass                     ,  1,  0,  0,  0
bra                     ,  0,  0,  1,  0
cum                     ,  0,  0,  2,  0
fag                     ,  0,  3,  0,  0
fuk                     ,  1,  0,  1,  0
hoe                     ,  0,  1,  1,  0
opp                     ,  0,  0, -1,  0
ppa                     ,  0,  0, -1,  0
ppb                     ,  0,  0, -1,  0
ppd                     ,  0,  0, -1,  0
pph                     ,  0,  0, -1,  0
ppi                     ,  0,  0, -1,  0
ppl                     ,  0,  0, -1,  0
ppm                     ,  0,  0, -1,  0
ppr                     ,  0,  0, -1,  0
ppt                     ,  0,  0, -1,  0
sex                     ,  0,  0,  1,  0
spp                     ,  0,  0, -1,  0
tit                     ,  0,  0,  2,  0
xxx                     ,  0,  0,  1,  0
anal                    ,  1,  0,  1,  0
anus                    ,  1,  0,  0,  0
arse                    ,  1,  0,  0,  0
asse                    , -1,  0,  0,  0
assi                    , -1,  0,  0,  0
assn                    , -1,  0,  0,  0
asst                    , -1,  0,  0,  0
bass                    , -1,  0,  0,  0
bich                    ,  0,  1,  1,  0
boob                    ,  0,  0,  2,  0
brab                    ,  0,  0, -1,  0
brad                    ,  0,  0, -1,  0
brae                    ,  0,  0, -1,  0
brag                    ,  0,  0, -1,  0
bram                    ,  0,  0, -1,  0
bran                    ,  0,  0, -1,  0
brat                    ,  0,  0, -1,  0
braw                    ,  0,  0, -1,  0
bray                    ,  0,  0, -1,  0
btch                    ,  0,  1,  1,  0
butt                    ,  1,  0,  0,  0
cass                    , -1,  0,  0,  0
clit                    ,  0,  0,  2,  0
cock                    ,  1,  0,  1,  0
coon                    ,  0,  3,  0,  0
crap                    ,  1,  0,  0,  0
cump                    ,  0,  0, -2,  0
cunt                    ,  0,  1,  1,  0
damn                    ,  1,  0,  0,  0
dego                    ,  0,  2,  0,  0
dick                    ,  1,  0,  1,  0
dong                    ,  0,  0,  1,  0
dumb                    ,  0,  0,  0,  1
dyke                    ,  1,  1,  1,  0
eppy                    ,  0,  0, -1,  0
fass                    , -1,  0,  0,  0
feck                    ,  1,  0,  1,  0
frig                    ,  1,  0,  1,  0
fuck                    ,  1,  0,  1,  0
gaay                    ,  0,  1,  0,  0
hate                    ,  0,  0,  0,  1
hell                    ,  1,  0,  0,  0
hoar                    ,  0,  2,  2,  0
hoed                    ,  0, -1, -1,  0
hoer                    ,  0, -1, -1,  0
hoey                    ,  0, -1, -1,  0
homo                    ,  0,  1,  1,  0
jass                    , -1,  0,  0,  0
jerk                    ,  1,  0,  0,  0
jizz                    ,  0,  0,  2,  0
lass                    , -1,  0,  0,  0
mass                    , -1,  0,  0,  0
muff                    ,  0,  0,  2,  0
nazi                    ,  0,  1,  0,  0
nigr                    ,  2,  3,  0,  0
nigs                    ,  1,  2,  0,  0
nude                    ,  0,  0,  2,  0
pass                    , -1,  0,  0,  0
phuc                    ,  1,  0,  1,  0
phuk                    ,  1,  0,  1,  0
piss                    ,  1,  0,  0,  0
poop                    ,  1,  0,  0,  0
porn                    ,  0,  0,  2,  0
pube                    ,  0,  0,  2,  0
pusy                    ,  0,  1,  1,  0
rape                    ,  0,  0,  1,  0
repp                    ,  0,  0, -1,  0
sass                    , -1,  0,  0,  0
scum                    ,  0,  0,  1,  1
shit                    ,  1,  0,  0,  0
shoe                    ,  0, -1, -1,  0
slut                    ,  0,  1,  1,  0
stfu                    ,  0,  0,  0,  1
supp                    ,  0,  0, -1,  0
tass                    , -1,  0,  0,  0
titi                    ,  0,  0, -2,  0
turd                    ,  1,  0,  0,  0
twat                    ,  0,  0,  2,  0
typp                    ,  0,  0, -1,  0
ugly                    ,  0,  0,  0,  1
wank                    ,  0,  0,  2,  0
yass                    , -1,  0,  0,  0
accum                   ,  0,  0, -2,  0
apoop                   , -1,  0,  0,  0
assai                   , -1,  0,  0,  0
assam                   , -1,  0,  0,  0
assay                   , -1,  0,  0,  0
assoc                   , -1,  0,  0,  0
assot                   , -1,  0,  0,  0
bahoe                   ,  0, -1, -1,  0
balls                   ,  0,  0,  1,  0
banal                   , -1,  0, -1,  0
banus                   , -1,  0,  0,  0
barse                   , -1,  0,  0,  0
bichy                   ,  0, -1, -1,  0
bitch                   ,  0,  1,  1,  0
boner                   ,  0,  0,  2,  0
braca                   ,  0,  0, -1,  0
brace                   ,  0,  0, -1,  0
brach                   ,  0,  0, -1,  0
brack                   ,  0,  0, -1,  0
bract                   ,  0,  0, -1,  0
brahm                   ,  0,  0, -1,  0
braid                   ,  0,  0, -1,  0
brail                   ,  0,  0, -1,  0
brain                   ,  0,  0, -1,  0
brake                   ,  0,  0, -1,  0
braky                   ,  0,  0, -1,  0
brash                   ,  0,  0, -1,  0
brass                   , -1,  0, -1,  0
brast                   ,  0,  0, -1,  0
brava                   ,  0,  0, -1,  0
brave                   ,  0,  0, -1,  0
bravi                   ,  0,  0, -1,  0
bravo                   ,  0,  0, -1,  0
braxy                   ,  0,  0, -1,  0
braza                   ,  0,  0, -1,  0
braze                   ,  0,  0, -1,  0
butte                   , -1,  0,  0,  0
butto                   , -1,  0,  0,  0
butty                   , -1,  0,  0,  0
canal                   , -1,  0, -1,  0
carse                   , -1,  0,  0,  0
cecum                   ,  0,  0, -2,  0
chass                   , -1,  0,  0,  0
chink                   ,  0,  2,  0,  0
choel                   ,  0, -1, -1,  0
choes                   ,  0, -1, -1,  0
clite                   ,  0,  0, -2,  0
cobra                   ,  0,  0, -1,  0
cocky                   , -1,  0, -1,  0
coony                   ,  0, -3,  0,  0
cpube                   ,  0,  0, -2,  0
crape                   , -1,  0, -1,  0
crass                   , -1,  0,  0,  0
cumal                   ,  0,  0, -2,  0
cumar                   ,  0,  0, -2,  0
cumay                   ,  0,  0, -2,  0
cumbu                   ,  0,  0, -2,  0
cumic                   ,  0,  0, -2,  0
cumin                   ,  0,  0, -2,  0
cumly                   ,  0,  0, -2,  0
cumol                   ,  0,  0, -2,  0
cumyl                   ,  0,  0, -2,  0
cuppy                   ,  0,  0, -1,  0
dassy                   , -1,  0,  0,  0
daygo                   ,  0,  2,  0,  0
desex                   ,  0,  0, -1,  0
dicky                   , -1,  0, -1,  0
dildo                   ,  0,  0,  2,  0
dippy                   ,  0,  0, -1,  0
dobra                   ,  0,  0, -1,  0
donga                   ,  0,  0, -1,  0
dongo                   ,  0,  0, -1,  0
drape                   ,  0,  0, -1,  0
dumba                   ,  0,  0,  0, -1
dumby                   ,  0,  0,  0, -1
duppy                   ,  0,  0, -1,  0
dyked                   , -1, -1, -1,  0
dyker                   , -1, -1, -1,  0
eppes                   ,  0,  0, -1,  0
essex                   ,  0,  0, -1,  0
fanal                   , -1,  0, -1,  0
farse                   , -1,  0,  0,  0
fatty                   ,  0,  1,  0,  1
fibra                   ,  0,  0, -1,  0
frape                   ,  0,  0, -1,  0
frass                   , -1,  0,  0,  0
freak                   ,  0,  0,  0,  1
frick                   ,  1,  0,  0,  0
frigo                   , -1,  0, -1,  0
garse                   , -1,  0,  0,  0
gassy                   , -1,  0,  0,  0
gippo                   ,  0,  0, -1,  0
gippy                   ,  0,  0, -1,  0
grape                   ,  0,  0, -1,  0
grass                   , -1,  0,  0,  0
guppy                   ,  0,  0, -1,  0
gyppo                   ,  0,  0, -1,  0
hated                   ,  0,  0,  0, -1
hatel                   ,  0,  0,  0, -1
hater                   ,  0,  0,  0, -1
hellc                   , -1,  0,  0,  0
hello                   , -1,  0,  0,  0
hellp                   , -1,  0,  0,  0
helly                   , -1,  0,  0,  0
heshe                   ,  0,  0,  1,  0
hippo                   ,  0,  0, -1,  0
hippy                   ,  0,  0, -1,  0
hoard                   ,  0, -2, -2,  0
hoary                   ,  0, -2, -2,  0
horny                   ,  0,  0,  2,  0
ianus                   , -1,  0,  0,  0
idego                   ,  0, -2,  0,  0
idiot                   ,  0,  0,  0,  1
janus                   , -1,  0,  0,  0
jerky                   , -1,  0,  0,  0
jocum                   ,  0,  0, -2,  0
kassu                   , -1,  0,  0,  0
kdego                   ,  0, -2,  0,  0
khass                   , -1,  0,  0,  0
kippy                   ,  0,  0, -1,  0
kvass                   , -1,  0,  0,  0
labia                   ,  0,  0,  2,  0
labra                   ,  0,  0, -1,  0
libra                   ,  0,  0, -1,  0
lippy                   ,  0,  0, -1,  0
locum                   ,  0,  0, -2,  0
loser                   ,  0,  0,  0,  1
lubra                   ,  0,  0, -1,  0
mahoe                   ,  0, -1, -1,  0
manal                   , -1,  0, -1,  0
manus                   , -1,  0,  0,  0
marse                   , -1,  0,  0,  0
mecum                   ,  0,  0, -2,  0
moron                   ,  0,  0,  0,  1
muffy                   ,  0,  0, -2,  0
naked                   ,  0,  0,  1,  0
nassa                   , -1,  0,  0,  0
nazim                   ,  0, -1,  0,  0
nazir                   ,  0, -1,  0,  0
nicca                   ,  1,  2,  0,  0
nigga                   ,  1,  2,  0,  0
nigre                   , -2, -3,  0,  0
nippy                   ,  0,  0, -1,  0
panus                   , -1,  0,  0,  0
parse                   , -1,  0,  0,  0
penis                   ,  2,  0,  2,  0
penus                   ,  2,  0,  2,  0
petit                   ,  0,  0, -2,  0
pippy                   ,  0,  0, -1,  0
prick                   ,  2,  0,  0,  0
puppy                   ,  0,  0, -1,  0
quass                   , -1,  0,  0,  0
queer                   ,  0,  2,  0,  0
ranal                   , -1,  0, -1,  0
raped                   ,  0,  0, -1,  0
raper                   ,  0,  0, -1,  0
resex                   ,  0,  0, -1,  0
rhoeo                   ,  0, -1, -1,  0
sabra                   ,  0,  0, -1,  0
scoon                   ,  0, -3,  0,  0
scrap                   , -1,  0,  0,  0
semen                   ,  0,  0,  2,  0
shell                   , -1,  0,  0,  0
sippy                   ,  0,  0, -1,  0
sissy                   ,  0,  0,  0,  1
skank                   ,  0,  1,  2,  0
snigs                   , -1, -2,  0,  0
spiss                   , -1,  0,  0,  0
spunk                   ,  0,  0,  2,  0
stite                   ,  0,  0, -2,  0
stith                   ,  0,  0, -2,  0
stupp                   ,  0,  0, -1,  0
subra                   ,  0,  0, -1,  0
swank                   ,  0,  0, -2,  0
tarse                   , -1,  0,  0,  0
tecum                   ,  0,  0, -2,  0
tippy                   ,  0,  0, -1,  0
titan                   ,  0,  0, -2,  0
titar                   ,  0,  0, -2,  0
titer                   ,  0,  0, -2,  0
tithe                   ,  0,  0, -2,  0
title                   ,  0,  0, -2,  0
titre                   ,  0,  0, -2,  0
